epoch,train_loss,val_loss,train_auroc,val_auroc,lr,phase
0,0.43207618364726796,0.432596244208018,0.656812165081855,0.6588480645159375,0.0001,Fase 1: Classificador
1,0.4144423943940331,0.42724274303118387,0.665522733213012,0.6675320269514342,0.0001,Fase 1: Classificador
2,0.41244254295124727,0.42579347613652546,0.6669818429571516,0.6699691874624646,0.0001,Fase 1: Classificador
3,0.4115285926959094,0.42441037074724836,0.6704047532949214,0.6707344964489882,0.0001,Fase 1: Classificador
4,0.41074935083950265,0.4237010740598043,0.6718200875352514,0.6729438333755107,0.0001,Fase 1: Classificador
5,0.4103822891515844,0.42121082531611126,0.6721485291583537,0.6730944785034432,0.0001,Fase 1: Classificador
6,0.40959875712394717,0.42010046356519065,0.6736286616602898,0.6737565404415661,0.0001,Fase 1: Classificador
7,0.4089873722637401,0.4182411076545715,0.6739460325448814,0.6753554839757265,0.0001,Fase 1: Classificador
8,0.40888774121789373,0.41997926816940306,0.6738492927191116,0.6748776506761506,0.0001,Fase 1: Classificador
9,0.40879728060890647,0.42066012941996256,0.6757820800780561,0.6760936225640932,0.0001,Fase 1: Classificador
10,0.3895708251167746,0.3867398529370626,0.7231226740173096,0.7218578826408644,3e-05,Fase 2: + DenseBlocks
11,0.3763521588577944,0.3773691723505656,0.7388097372416894,0.7343056310171876,3e-05,Fase 2: + DenseBlocks
12,0.3697130976929384,0.37177298385302227,0.7482563787597512,0.7401767957127504,3e-05,Fase 2: + DenseBlocks
13,0.36516886580411123,0.37008230171203615,0.7556922729663088,0.7442018916761892,3e-05,Fase 2: + DenseBlocks
14,0.3623349380409016,0.36781518880526226,0.7619662399592776,0.7472723946498244,3e-05,Fase 2: + DenseBlocks
15,0.35959034222154057,0.36783528162638346,0.7673640534340409,0.7472633792764737,3e-05,Fase 2: + DenseBlocks
16,0.35717404580396767,0.36570617159207663,0.771269414515613,0.7500788719558277,3e-05,Fase 2: + DenseBlocks
17,0.3553142359284794,0.3673985374132792,0.7747716612985649,0.7510392922702775,3e-05,Fase 2: + DenseBlocks
18,0.3533393260759466,0.3661380166848501,0.7776516397410006,0.7510301098804674,3e-05,Fase 2: + DenseBlocks
19,0.351551676643596,0.3653262242794037,0.7797604038138607,0.7535547871415211,3e-05,Fase 2: + DenseBlocks
20,0.3483243786980124,0.36312279858589175,0.7854097913465903,0.7570479024228779,1e-05,Fase 3: Full Fine-Tuning
21,0.34660604839044457,0.3642379585901896,0.788188578333192,0.7539017538394442,1e-05,Fase 3: Full Fine-Tuning
22,0.34529629028264214,0.36489676353136696,0.7906273252546765,0.7549686299651482,1e-05,Fase 3: Full Fine-Tuning
23,0.3441584758842693,0.36383353238105776,0.7931448412230047,0.7549862571702525,1e-05,Fase 3: Full Fine-Tuning
24,0.3426403875322903,0.3643610449632009,0.7952978164403471,0.754709488258953,1e-05,Fase 3: Full Fine-Tuning
25,0.3414614555863773,0.3641381215413411,0.7966218586721366,0.7553304009758088,1e-05,Fase 3: Full Fine-Tuning
26,0.34062103854347675,0.3643262634595235,0.7984198631868774,0.756252406399173,1e-05,Fase 3: Full Fine-Tuning
27,0.3397509262898389,0.36336532416343686,0.800438929068953,0.7569404996799612,1e-05,Fase 3: Full Fine-Tuning
