epoch,train_loss,val_loss,train_auroc,val_auroc,lr,phase
0,0.43103311177983006,0.4322275577863057,0.6537721172965244,0.6537140187559451,0.0001,Fase 1: Classificador
1,0.4149808341811685,0.4290559572060903,0.6616899675675183,0.661732669282114,0.0001,Fase 1: Classificador
2,0.41287645021887387,0.4287802771250407,0.6659708622559393,0.6663748795864116,0.0001,Fase 1: Classificador
3,0.41214355986539053,0.42612467966079715,0.6698776541936787,0.6700522791597419,0.0001,Fase 1: Classificador
4,0.41136691958203037,0.42497263186772666,0.6704182824308563,0.6703247574996929,0.0001,Fase 1: Classificador
5,0.4104993205743677,0.42632595879236856,0.6719500444768339,0.6698681358867885,0.0001,Fase 1: Classificador
6,0.41002936584528754,0.4230330469449361,0.6713656503952838,0.6698907733738826,0.0001,Fase 1: Classificador
7,0.4095422717206618,0.42071301973660785,0.6741047006194918,0.6715837619328732,0.0001,Fase 1: Classificador
8,0.40933322848712694,0.4191120527426402,0.673252683182647,0.6723282359104825,0.0001,Fase 1: Classificador
9,0.40909819060213426,0.4183089127699534,0.6735362890634065,0.6729053727127589,0.0001,Fase 1: Classificador
10,0.38997186006097234,0.38718673764864603,0.7219283085767657,0.7185382320109458,3e-05,Fase 2: + DenseBlocks
11,0.3766810160636902,0.37780423833529153,0.7365765027640142,0.7322490915630837,3e-05,Fase 2: + DenseBlocks
12,0.37031109887571895,0.3716505508581797,0.7473897442051989,0.739314180658282,3e-05,Fase 2: + DenseBlocks
13,0.36596164581074436,0.36828222220738727,0.7543703985781205,0.7447666015851261,3e-05,Fase 2: + DenseBlocks
14,0.36240275906955494,0.36791166313489276,0.7602343888237039,0.746929532290553,3e-05,Fase 2: + DenseBlocks
15,0.3596229233713711,0.3665798104127248,0.7659812714949529,0.7491794067385756,3e-05,Fase 2: + DenseBlocks
16,0.35795470362551074,0.3664472967306773,0.7695414280895109,0.7487072203944225,3e-05,Fase 2: + DenseBlocks
17,0.3555063323469723,0.36457867631912233,0.77269253378961,0.7507826585384443,3e-05,Fase 2: + DenseBlocks
18,0.353682515595941,0.3628561811606089,0.7763338794711856,0.7536207587570933,3e-05,Fase 2: + DenseBlocks
19,0.3524180093007929,0.3661537418047587,0.7789766651058024,0.7509655133235883,3e-05,Fase 2: + DenseBlocks
20,0.34935944232940674,0.3643856175104777,0.7847055710626668,0.7519881533359639,1e-05,Fase 3: Full Fine-Tuning
21,0.3471289302853977,0.36347171456019084,0.7875003495585923,0.7547979511535013,1e-05,Fase 3: Full Fine-Tuning
22,0.34581785761608796,0.3630735343933105,0.7897775494296786,0.7544045002495706,1e-05,Fase 3: Full Fine-Tuning
23,0.3445249587171218,0.36193339904149374,0.7916489203124488,0.7566550019825069,1e-05,Fase 3: Full Fine-Tuning
24,0.34347219782436594,0.3622990878264109,0.7935290352845259,0.7553302849130766,1e-05,Fase 3: Full Fine-Tuning
25,0.3422981617338517,0.3636693000157674,0.7951942108805372,0.7543077500534034,1e-05,Fase 3: Full Fine-Tuning
