Group,Mean_AUC_14,Mean_AUC_5,Mean_Age,N_Samples
< 40 anos,0.7969043401798096,0.8275401779621783,30.132913490222077,3017
40-65 anos,0.7639673211189401,0.7826850817400399,54.98474178403756,8520
> 65 anos,0.7504465786135769,0.7573024768411363,77.0752688172043,8463
