epoch,train_loss,val_loss,train_auroc,val_auroc,lr,phase
0,0.4306725992483251,0.43370467116038003,0.6553827385219794,0.6586065187214617,0.0001,Fase 1: Classificador
1,0.4144279658261467,0.430644849618276,0.664591731620152,0.6650475599598323,0.0001,Fase 1: Classificador
2,0.41232463231647715,0.42660829281806945,0.6670666856769589,0.668290421647482,0.0001,Fase 1: Classificador
3,0.41151664048082687,0.42573954022725424,0.6689513092199649,0.6696467563280432,0.0001,Fase 1: Classificador
4,0.41074111468651714,0.4224851551691691,0.6704413334464089,0.6700071617945617,0.0001,Fase 1: Classificador
5,0.41031674120846917,0.42414354098637896,0.6712725761223518,0.6700212593015159,0.0001,Fase 1: Classificador
6,0.4100405038356781,0.42383514494895935,0.6723928272660948,0.6720795058983604,0.0001,Fase 1: Classificador
7,0.4092054015159607,0.42045227061907453,0.6742644188055424,0.6728354099189697,0.0001,Fase 1: Classificador
8,0.4087866357578951,0.4215525830904643,0.6744809150330379,0.6732405727078384,0.0001,Fase 1: Classificador
9,0.4089357810132644,0.4201992927074432,0.6752330043592959,0.6742922733616113,0.0001,Fase 1: Classificador
10,0.389901002704396,0.38676193866729736,0.7211702537101401,0.7233142815811503,3e-05,Fase 2: + DenseBlocks
11,0.37635649370025187,0.3774217292149862,0.737662597902962,0.7346357480157266,3e-05,Fase 2: + DenseBlocks
12,0.37000382677807525,0.3721251508553823,0.7478954494312944,0.7417450503165256,3e-05,Fase 2: + DenseBlocks
13,0.3654170549813439,0.3700461024125417,0.756148994033464,0.7457104026475652,3e-05,Fase 2: + DenseBlocks
14,0.36206702202909136,0.3670871050834656,0.7624875802404203,0.7497599033728789,3e-05,Fase 2: + DenseBlocks
15,0.35934036938723396,0.3666278969446818,0.7673083518081575,0.75088088518445,3e-05,Fase 2: + DenseBlocks
16,0.35690967029122744,0.36801881217956545,0.7711377889322243,0.7494860803088782,3e-05,Fase 2: + DenseBlocks
17,0.3550937523280873,0.3660385349114736,0.7749221900481771,0.7519223327174627,3e-05,Fase 2: + DenseBlocks
18,0.3531374502883238,0.36581800926526387,0.7789132107606213,0.7516746858454998,3e-05,Fase 2: + DenseBlocks
19,0.3513741501499625,0.36613688596089683,0.7817836395857747,0.7515873511207339,3e-05,Fase 2: + DenseBlocks
20,0.3484533876839806,0.3651856018225352,0.785683010476897,0.7532012882593151,1e-05,Fase 3: Full Fine-Tuning
21,0.34663946628290065,0.3628974850018819,0.7889695888398077,0.7562016349047865,1e-05,Fase 3: Full Fine-Tuning
22,0.34515734006937815,0.36338300929069517,0.7911607337175839,0.7561340242548636,1e-05,Fase 3: Full Fine-Tuning
23,0.34402176855872657,0.36439382421175637,0.7934550306891085,0.7566349302922485,1e-05,Fase 3: Full Fine-Tuning
24,0.34265591701900255,0.36484851320584616,0.794978411407583,0.7559149784494916,1e-05,Fase 3: Full Fine-Tuning
25,0.3417301715205697,0.3634498109817505,0.796562902918185,0.7573112152697107,1e-05,Fase 3: Full Fine-Tuning
26,0.3405839315021739,0.3647744417031606,0.7995416202786495,0.7560772765060749,1e-05,Fase 3: Full Fine-Tuning
27,0.3395375734160928,0.3622154759089152,0.8006499134489712,0.758703896858787,1e-05,Fase 3: Full Fine-Tuning
28,0.33838580580739414,0.36413403000831607,0.8017009545298481,0.7574191582274953,1e-05,Fase 3: Full Fine-Tuning
